stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
10515,10515,"Post Rd & 30th St",,  39.811836, -86.009616,,,0,
10517,10517,"33rd St & Post Rd",,  39.816717, -86.010395,,,0,
10519,10519,"33rd St & Mesilla Ct",,  39.816661, -86.015271,,,0,
10520,10520,"33rd St & Raton Ct",,  39.816610, -86.017813,,,0,
10521,10521,"33rd St - Crossroads",,  39.816557, -86.022537,,,0,
10522,10522,"33rd St & Franklin Rd",,  39.816500, -86.025851,,,0,
10523,10523,"Franklin Rd & Bellwood Dr",,  39.814196, -86.026832,,,0,
10524,10524,"Franklin Rd & 30th St",,  39.811901, -86.026820,,,0,
10531,10531,"30th St & Huber St",,  39.811145, -86.030070,,,0,
10532,10532,"30th St & Enterprise St",,  39.811217, -86.031426,,,0,
10533,10533,"30th St & Richardt Ave",,  39.811082, -86.036014,,,0,
10534,10534,"30th St & Elmhurst Dr",,  39.811099, -86.040054,,,0,
10535,10535,"30th St & Shadeland Ave",,  39.811164, -86.045387,,,0,
10536,10536,"Shadeland Ave & Private Dr",,  39.813623, -86.045607,,,0,
10537,10537,"Shadeland Ave & 33rd St",,  39.816132, -86.045642,,,0,
10538,10538,"34th St & Shadeland Ave",,  39.818474, -86.046410,,,0,
10539,10539,"34th St & Edmondson Ave",,  39.818421, -86.051052,,,0,
10540,10540,"34th St & Elizabeth St",,  39.818422, -86.052397,,,0,
10541,10541,"34th St - 6700 E",,  39.818416, -86.054872,,,0,
10542,10542,"34th St & Arlington Ave",,  39.818400, -86.065338,,,0,
10543,10543,"34th St & Private Dr",,  39.818412, -86.068161,,,0,
10544,10544,"34th St & Layman Ave",,  39.818399, -86.072807,,,0,
10545,10545,"34th St & Downey Ave",,  39.818415, -86.077610,,,0,
10546,10546,"34th St & Butler Ave",,  39.818424, -86.080451,,,0,
10550,10550,"34th St & Emerson Ave",,  39.818431, -86.082907,,,0,
10551,10551,"34th St & Bancroft St",,  39.818419, -86.084876,,,0,
10552,10552,"34th St & Dequincy St",,  39.818393, -86.087549,,,0,
10553,10553,"34th St & Wallace Ave",,  39.818383, -86.088774,,,0,
10555,10555,"34th St & Drexel Ave",,  39.818345, -86.092422,,,0,
10557,10557,"34th St & Colorado Ave",,  39.818325, -86.094715,,,0,
10559,10559,"34th St & Forest Manor Ave",,  39.818298, -86.097684,,,0,
10560,10560,"34th St & Chester Dr",,  39.818267, -86.100019,,,0,
10561,10561,"34th St & Sherman Dr",,  39.818250, -86.102490,,,0,
10562,10562,"34th St & Station St",,  39.818235, -86.104163,,,0,
10564,10564,"34th St & Olney St",,  39.818233, -86.106886,,,0,
10565,10565,"34th St & Adams St",,  39.818220, -86.108235,,,0,
10566,10566,"34th St & Lasalle St",,  39.818197, -86.109812,,,0,
10567,10567,"34th St & Dearborn St",,  39.818203, -86.112037,,,0,
10568,10568,"34th St & Parker Ave",,  39.818203, -86.113262,,,0,
10569,10569,"34th St & Oxford St",,  39.818203, -86.114878,,,0,
10571,10571,"34th St & Temple Ave",,  39.818192, -86.118253,,,0,
10572,10572,"34th St & Tacoma Ave",,  39.818175, -86.119887,,,0,
10573,10573,"34th St & Keystone Ave",,  39.818158, -86.121998,,,0,
10575,10575,"34th St & Baltimore Ave",,  39.818159, -86.123849,,,0,
10576,10576,"34th St & Nicholas Ave",,  39.818134, -86.126779,,,0,
10577,10577,"34th St & Orchard Ave",,  39.818132, -86.128032,,,0,
10578,10578,"34th St & Schofield Ave",,  39.818145, -86.129542,,,0,
10579,10579,"34th St & Ralston Ave",,  39.818137, -86.130976,,,0,
10580,10580,"34th St & Hovey St",,  39.818125, -86.132471,,,0,
10581,10581,"Sutherland Ave & 34th St",,  39.817789, -86.134826,,,0,
10582,10582,"Sutherland Ave & A J Brown Ave",,  39.816727, -86.135378,,,0,
10583,10583,"Sutherland Ave & Winthrop Ave",,  39.815971, -86.137672,,,0,
10584,10584,"Sutherland Ave & Guilford Ave",,  39.815562, -86.139008,,,0,
10585,10585,"Sutherland Ave & Private Dr",,  39.814825, -86.140640,,,0,
10586,10586,"Sutherland Ave & 32nd St",,  39.813244, -86.141188,,,0,
